"ISIL","機関名Institution name in Japanese","Institution name in English","機関名ヨミInstitution name in Japanese (kana form)","Postal code","都道府県Prefecture","市区町村City/Ward/Town/Village","町名番地Address","Telephone number","代表FAX番号Fax number","URL","旧ISIL Former ISIL","登録日","更新日"
"JP-1000041","札幌市清田図書館","Sapporo Kiyota Library","サッポロシキヨタトショカン","004-0871","北海道","札幌市清田区","平岡1条1丁目2-1","011-889-2484","011-889-2485","http://www.city.sapporo.jp/toshokan/sisetu/kiyota/kiyota.html",,2011/10/1 0:00:00,2017/7/7 0:00:00
"JP-1000042","函館市中央図書館","Hakodate City Central Library","ハコダテシチュウオウトショカン","040-0001","北海道","函館市","五稜郭町26-1","0138-35-5500","0138-35-5525","https://hakodate-lib.jp/",,2011/10/1 0:00:00,2020/9/1 0:00:00
"JP-1000043","市立小樽図書館","Otaru City Library","シリツオタルトショカン","047-0024","北海道","小樽市","花園5丁目1-1","0134-22-7726","0134-34-0733","http://www.city.otaru.lg.jp/simin/sisetu/toshokan/",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000044","旭川市中央図書館","ASAHIKAWASHICHUO Library","アサヒカワシチュウオウトショカン","070-0044","北海道","旭川市","常磐公園","0166-22-4174","0166-25-4793","https://www2.lib.city.asahikawa.hokkaido.jp/",,2011/10/1 0:00:00,2018/5/7 0:00:00
"JP-1000045","旭川市末広図書館","ASAHIKAWASHISUEHIRO Library","アサヒカワシスエヒロトショカン","071-8133","北海道","旭川市","末広3条2丁目","0166-54-7111","0166-54-6016","http://www2.lib.city.asahikawa.hokkaido.jp/satellite/suehiro/index.html",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000046","旭川市永山図書館","ASAHIKAWASHINAGAYAMA Library","アサヒカワシナガヤマトショカン","079-8413","北海道","旭川市","永山3条19丁目","0166-47-8080","0166-48-8066","http://www2.lib.city.asahikawa.hokkaido.jp/satellite/nagayama/index.html",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000047","旭川市東光図書館","ASAHIKAWASHITOKO Library","アサヒカワシトウコウトショカン","078-8346","北海道","旭川市","東光6条4丁目","0166-39-3939","0166-39-3456","https://www2.lib.city.asahikawa.hokkaido.jp/satellite/toukou/index.html",,2011/10/1 0:00:00,2013/4/19 0:00:00
"JP-1000048","旭川市神楽図書館","KAGURA Library","カグラトショカン","070-8003","北海道","旭川市","神楽3条6丁目","0166-61-6711","0166-61-8886","http://www2.lib.city.asahikawa.hokkaido.jp/satellite/kagura/index.html",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000049","室蘭市図書館","MURORANSHI Library","ムロランシトショカン","051-0015","北海道","室蘭市","本町2丁目2-1","0143-22-1658","0143-23-3342","https://www.kujiran.net/emiran/muroran-library/",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000050","釧路市中央図書館","Kushiro Central Library","クシロシチュウオウトショカン","085-0015","北海道","釧路市","北大通10丁目2-1","0154-64-1740","0154-64-1741","http://kushirolibrary.jp/",,2011/10/1 0:00:00,2018/3/9 0:00:00
"JP-1000051","釧路市音別町ふれあい図書館","KUSHIROSHIOMBETSUCHOFUREAI Library","クシロシオンベツチョウフレアイトショカン","088-0117","北海道","釧路市","音別町朝日2丁目81","01547-6-3435","","http://www.city.kushiro.lg.jp/kyouiku/shougaigakushuu/bunkashisetsu/library/page00003.html",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000052","帯広市図書館","Obihiro City Library","オビヒロシトショカン","080-0012","北海道","帯広市","西2条南14-3-1","0155-22-4700","0155-22-4701","http://www.lib-obihiro.jp/",,2011/10/1 0:00:00,2014/10/23 0:00:00
"JP-1000053","北見市立中央図書館","KITAMISHIRITSUCHUO Library","キタミシリツチュウオウトショカン","090-0811","北海道","北見市","泉町1丁目2番21号","0157-23-2074","0157-23-9693","http://www.city.kitami.lg.jp/bunya/lib/",,2011/10/1 0:00:00,2016/1/5 0:00:00
"JP-1000054","北見市立中央図書館東分館","KITAMISHIRITSUCHUO Library HIGASHIBUNKAN","キタミシリツチュウオウトショカンヒガシブンカン","090-0801","北海道","北見市","春光町6丁目1-22 複合施設サンハウス内","0157-61-7147","0157-61-7147","https://lib.city.kitami.lg.jp/facility/gs90km0000000g4d.html",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000055","北見市立中央図書館緑地区分館","KITAMISHIRITSUCHUO Library MIDORICHIKUBUNKAN","キタミシリツチュウオウトショカンミドリチクブンカン","090-0054","北海道","北見市","双葉町1丁目2-2","0157-36-4841","0157-36-4841","https://lib.city.kitami.lg.jp/facility/gs90km0000000g96.html",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000056","北見市立中央図書館相内分室","KITAMISHIRITSUCHUO Library AINONAIBUNSHITSU","キタミシリツチュウオウトショカンアイノナイブンシツ","099-0871","北海道","北見市","相内町109番地3　相内地域複合公共施設内","0157-35-3066","0157-35-3066","https://lib.city.kitami.lg.jp/facility/gs90km0000000gtn.html",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000057","北見市立中央図書館上ところ分室","KITAMISHIRITSUCHUO Library KAMITOKOROBUNSHITSU","キタミシリツチュウオウトショカンカミトコロブンシツ","099-1585","北海道","北見市","上ところ682-1 上ところコミュニティプラザ内","0157-38-2644","0157-38-2644","https://lib.city.kitami.lg.jp/facility/gs90km0000000ggy.html",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000058","北見市立中央図書館東相内地区住民センター図書室","KITAMISHIRITSUCHUO Library HIGASHIAINONAITIKUZYUMINSENTATOSYOSHITSU","キタミシリツチュウオウトショカンヒガシアイノナイチクジュウミンセンタートショシツ","099-0878","北海道","北見市","東相内町287-6","0157-36-4286","0157-36-4286","https://lib.city.kitami.lg.jp/facility/gs90km0000000gna.html",,2011/10/1 0:00:00,2021/3/29 0:00:00
"JP-1000059","北見市立端野図書館","KITAMISHIRITSUTANNO Library","キタミシリツタンノトショカン","099-2102","北海道","北見市","端野町二区471-5","0157-56-2560","0157-56-2918","http://www.city.kitami.lg.jp/docs/2011021800041/",,2011/10/1 0:00:00,2013/4/22 0:00:00
"JP-1000060","北見市立留辺蘂図書館","KITAMISHIRITSURUBESHIBE Library","キタミシリツルベシベトショカン","091-0003","北海道","北見市","留辺蘂町仲町97-4","0157-42-4001","0157-42-4384","https://lib.city.kitami.lg.jp/facility/gs90km0000000hb9.html",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000061","北見市立常呂図書館","KITAMISHIRITSUTOKORO Library","キタミシリツトコロトショカン","093-0210","北海道","北見市","常呂町字常呂323","0152-54-1215","0152-54-1216","http://www.city.kitami.lg.jp/docs/2011040300027/",,2011/10/1 0:00:00,2013/4/22 0:00:00
"JP-1000062","岩見沢市立図書館","Iwamizawa City Library","イワミザワシリツトショカン","068-0827","北海道","岩見沢市","春日町2丁目18-1","0126-22-4236","0126-24-7580","http://lib.city.iwamizawa.hokkaido.jp/",,2011/10/1 0:00:00,2013/4/22 0:00:00
"JP-1000063","岩見沢市立図書館来夢21分館","IWAMIZAWASHIRITSU Library RAIMU21BUNKAN","イワミザワシリツトショカンライム21ブンカン","068-0125","北海道","岩見沢市","栗沢町南本町41-1","0126-45-2105","0126-45-2158","https://lib.city.iwamizawa.hokkaido.jp/info-s_raimu.htm",,2011/10/1 0:00:00,2013/4/22 0:00:00
"JP-1000064","網走市立図書館","ABASHIRISHIRITSU Library","アバシリシリツトショカン","093-0072","北海道","網走市","北2条西3丁目3","0152-43-2426","0152-45-2792","http://www.city.abashiri.hokkaido.jp/270kyoiku/030tosyokan/index.html",,2011/10/1 0:00:00,
"JP-1000065","市立留萌図書館","SHIRITSURUMOI Library","シリツルモイトショカン","077-0027","北海道","留萌市","住之江町2丁目1","0164-42-2300","0164-42-2303","https://ilisod001.apsel.jp/rumoi/wopc/pc/pages/TopPage.jsp",,2011/10/1 0:00:00,2020/2/20 0:00:00
"JP-1000066","苫小牧市立中央図書館","Tomakomai City Library","トマコマイシリツチュウオウトショカン","053-0011","北海道","苫小牧市","末広町3丁目1-15","0144-35-0511","0144-35-0519","http://www.tomakomai-lib.jp/",,2011/10/1 0:00:00,2014/10/28 0:00:00
"JP-1000067","稚内市立図書館","Wakkanai City Library","ワッカナイシリツトショカン","097-0005","北海道","稚内市","大黒4丁目1-1","0162-23-3874","0162-23-3279","http://www.city.wakkanai.hokkaido.jp/toshokan/",,2011/10/1 0:00:00,2013/4/22 0:00:00
"JP-1000068","美唄市立図書館","BIBAISHIRITSU Library","ビバイシリツトショカン","072-0027","北海道","美唄市","西4条南1丁目4-1","0126-63-4802","0126-63-3555","http://lib.net-bibai.co.jp/bibai/",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1000069","芦別市立図書館","Ashibetsu City Library","アシベツシリツトショカン","075-0041","北海道","芦別市","本町17","0124-22-2204","0124-22-2994","http://www.city.ashibetsu.hokkaido.jp/educ_tosyokan/tkanri/tosyokan.html",,2011/10/1 0:00:00,2013/4/22 0:00:00
"JP-1000070","江別市情報図書館","EBETSUSHIJOHO Library","エベツシジョウホウトショカン","069-0815","北海道","江別市","野幌末広町7","011-384-0202","011-385-1129","http://www.lib.city.ebetsu.hokkaido.jp",,2011/10/1 0:00:00,
"JP-1000071","江別市情報図書館江別分館","EBETSUSHIJOHO Library EBETSUBUNKAN","エベツシジョウホウトショカンエベツブンカン","067-0013","北海道","江別市","3条5丁目11番地1","011-385-1372","011-385-1372","http://www.lib.city.ebetsu.hokkaido.jp",,2011/10/1 0:00:00,2014/10/28 0:00:00
"JP-1000072","江別市情報図書館大麻分館","EBETSUSHIJOHO Library OASABUNKAN","エベツシジョウホウトショカンオオアサブンカン","069-0854","北海道","江別市","大麻中町26番地7","011-387-1634","011-387-1634","http://www.lib.city.ebetsu.hokkaido.jp",,2011/10/1 0:00:00,2014/10/28 0:00:00
"JP-1000073","赤平市図書館","AKABIRASHI Library","アカビラシトショカン","079-1141","北海道","赤平市","大町4丁目5-2","0125-32-2224","0125-32-2224","http://www.lib-finder2.net/akabira/",,2011/10/1 0:00:00,2014/10/28 0:00:00
"JP-1000074","紋別市立図書館","MOMBETSUSHIRITSU Library","モンベツシリツトショカン","094-0005","北海道","紋別市","幸町3丁目1-8","0158-24-2261","0158-26-3440","http://mombetsu.jp/sisetu/bunkasisetu/tosyokan/",,2011/10/1 0:00:00,2013/4/22 0:00:00
"JP-1000075","市立士別図書館","SHIRITSUSHIBETSU Library","シリツシベツトショカン","095-0021","北海道","士別市","西1条8丁目701-1","0165-29-2153","0165-23-3379","http://www.city.shibetsu.lg.jp/www/contents/1134459220546/index.html",,2011/10/1 0:00:00,2016/5/27 0:00:00
"JP-1000076","市立士別図書館朝日図書室","SHIRITSUSHIBETSU Library ASAHITOSHOSHITSU","シリツシベツトショカンアサヒトショシツ","095-0401","北海道","士別市","朝日町中央4038","0165-28-3146","0165-28-2960","https://www.city.shibetsu.lg.jp/www/contents/1134459220546/index.html",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000077","市立名寄図書館","SHIRITSUNAYORO Library","シリツナヨロトショカン","096-0010","北海道","名寄市","大通南2丁目5番地","01654-2-4751","01654-2-4897","http://www.city.nayoro.lg.jp/www/contents/1252484922103/",,2011/10/1 0:00:00,2014/10/28 0:00:00
"JP-1000078","市立名寄図書館風連分館","SHIRITSUNAYORO Library FUREMBUNKAN","シリツナヨロトショカンフウレンブンカン","098-0505","北海道","名寄市","風連町西町201 風連中央小学校内","01655-7-8000","","http://www.city.nayoro.lg.jp/section/library/prkeql0000000zck.html",,2011/10/1 0:00:00,2021/3/29 0:00:00
"JP-1000079","三笠市立図書館","MIKASASHIRITSU Library","ミカサシリツトショカン","068-2193","北海道","三笠市","若草町404","01267-2-3514","01267-2-6238","http://www.lib-eye.net/mikasa/servlet/Index?findtype=1",,2011/10/1 0:00:00,2014/10/28 0:00:00
"JP-1000080","根室市図書館","NEMUROSHI Library","ネムロシトショカン","087-0049","北海道","根室市","弥生町2丁目5","0153-23-5974","0153-22-3292","http://www.city.nemuro.hokkaido.jp/dcitynd.nsf/0/1c4ff22c9d818810492571c7001c6f2a?OpenDocument",,2011/10/1 0:00:00,2013/4/23 0:00:00
"JP-1000081","千歳市立図書館","Chitose City Library","チトセシリツトショカン","066-0046","北海道","千歳市","真町2196-1","0123-26-2131","0123-26-2133","http://library-city-chitose.jp/",,2011/10/1 0:00:00,2016/6/7 0:00:00
"JP-1000082","滝川市立図書館","Takikawa City Library","タキカワシリツトショカン","073-8686","北海道","滝川市","大町1丁目2-15","0125-22-4646","0125-23-1284","https://lib.city.takikawa.hokkaido.jp/",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000083","砂川市図書館","SUNAGAWASHI Library","スナガワシトショカン","073-0168","北海道","砂川市","西8条北3丁目1-1","0125-52-3819","0125-52-4815","https://www.city.sunagawa.hokkaido.jp/soshiki_shigoto/toshokan/",,2011/10/1 0:00:00,2017/1/23 0:00:00
"JP-1000084","歌志内市立図書館","UTASHINAISHIRITSU Library","ウタシナイシリツトショカン","073-0403","北海道","歌志内市","本町76番地 歌志内市公民館内","0125-42-6900","0125-42-3866","http://www.city.utashinai.hokkaido.jp/hotnews/detail/00001025.html",,2011/10/1 0:00:00,2015/9/15 0:00:00
"JP-1000085","深川市立図書館","Fukagawa City Library","フカガワシリツトショカン","074-0012","北海道","深川市","西町3-15","0164-22-4946","0164-23-3883","https://ikibun.com/library/",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000086","市立富良野図書館","Furano City Library","シリツフラノトショカン","076-0032","北海道","富良野市","若松町5-10","0167-22-3005","0167-22-3055","https://ilisod001.apsel.jp/furano-library/sp/",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1000087","登別市立図書館","Noboribetsu City Library","ノボリベツシリツトショカン","059-0012","北海道","登別市","中央町5丁目21-1","0143-85-4324","0143-85-4325","http://www.noboribetsu.ed.jp/~iinkai/library/",,2011/10/1 0:00:00,2014/10/29 0:00:00
"JP-1000088","恵庭市立図書館","Eniwa City Library","エニワシリツトショカン","061-1373","北海道","恵庭市","恵み野西5丁目10-2","0123-37-2181","0123-37-2184","https://eniwa-library.jp/",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000089","恵庭市立図書館恵庭分館","Eniwa City Library Eniwa Branch Library","エニワシリツトショカンエニワブンカン","061-1442","北海道","恵庭市","緑町2丁目1-1","0123-34-8164","0123-34-8164","https://eniwa-library.jp/office/",,2011/10/1 0:00:00,2021/3/29 0:00:00
"JP-1000090","恵庭市立図書館島松分館","Eniwa City Library Shimamatsu Branch Library","エニワシリツトショカンシママツブンカン","061-1352","北海道","恵庭市","島松仲町1丁目8-1","0123-37-2175","0123-37-2185","https://eniwa-library.jp/archives/servicepoint/141/",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000091","伊達市立図書館","DATESHIRITSU Library","ダテシリツトショカン","052-0022","北海道","伊達市","梅本町67-5","0142-25-3336","0142-25-3336","http://www.city.date.hokkaido.jp/kyoiku/detail/00001161.html",,2011/10/1 0:00:00,2013/4/23 0:00:00
"JP-1000092","北広島市図書館","Kitahiroshima City Library","キタヒロシマシトショカン","061-1121","北海道","北広島市","中央6丁目2-1","011-373-7667","011-373-6664","https://www.city.kitahiroshima.hokkaido.jp/library/",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000093","石狩市民図書館","Ishikari City Library","イシカリシミントショカン","061-3217","北海道","石狩市","花川北7条1丁目26","0133-72-2000","0133-73-9120","https://www.ishikari-library-unet.ocn.ne.jp/TOSHOW/asp/index.aspx",,2011/10/1 0:00:00,2021/9/27 0:00:00
"JP-1000094","石狩市民図書館花川南分館","ISHIKARISHIMIN Library HANAKAWAMINAMIBUNKAN","イシカリシミントショカンハナカワミナミブンカン","061-3206","北海道","石狩市","花川南6条5丁目27-2花川南コミュニティセンター内","0133-73-4946","0133-73-5300","https://www.ishikari-library-unet.ocn.ne.jp/TOSHOW/asp/index.aspx",,2011/10/1 0:00:00,2021/9/27 0:00:00
"JP-1000095","石狩市民図書館八幡分館","ISHIKARISHIMIN Library HACHIMAMBUNKAN","イシカリシミントショカンハチマンブンカン","061-3361","北海道","石狩市","八幡2丁目332-12八幡コミュニティセンター内","0133-66-4116","0133-66-4261","https://www.ishikari-library-unet.ocn.ne.jp/TOSHOW/asp/index.aspx",,2011/10/1 0:00:00,2021/9/27 0:00:00
"JP-1000097","石狩市民図書館浜益分館","ISHIKARISHIMIN Library HAMAMASUBUNKAN","イシカリシミントショカンハママスブンカン","061-3101","北海道","石狩市","浜益区浜益630-1 浜益コミセン内","0133-79-5577","0133-79-5568","https://www.ishikari-library-unet.ocn.ne.jp/TOSHOW/asp/index.aspx",,2011/10/1 0:00:00,2021/9/27 0:00:00
"JP-1000098","北斗市立図書館","HOKUTOSHIRITSU Library","ホクトシリツトショカン","049-0156","北海道","北斗市","中野通2丁目13番1号","0138-74-2071","0138-74-2074","https://www.lib-city-hokuto.hokkaido.jp/opac/",,2011/10/1 0:00:00,2023/1/4 0:00:00
"JP-1000099","北斗市立図書館分館","HOKUTOSHIRITSU Library BUNKAN","ホクトシリツトショカンブンカン","041-1251","北海道","北斗市","本郷2丁目32番5号","0138-77-8640","0138-77-8643","https://www.city.hokuto.hokkaido.jp/machi/bunka/library/",,2011/10/1 0:00:00,2021/3/29 0:00:00
"JP-1000100","松前町立図書館","MATSUMAECHORITSU Library","マツマエチョウリツトショカン","049-1594","北海道","松前郡松前町","字神明30","0139-42-4600","","http://www.town.matsumae.hokkaido.jp/toshokan/",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1000101","森町図書館","MORIMACHI Library","モリマチトショカン","049-2326","北海道","茅部郡森町","字御幸町172 NTT森ビル1F","01374-2-5515","","http://www.town.hokkaido-mori.lg.jp/soshiki/book/",,2011/10/1 0:00:00,2014/10/29 0:00:00
"JP-1000102","八雲町立図書館","YAKUMOCHORITSU Library","ヤクモチョウリツトショカン","049-3113","北海道","二海郡八雲町","相生町98","0137-62-2507","0137-62-2528","http://www.town.yakumo.lg.jp/modules/library/",,2011/10/1 0:00:00,2013/4/25 0:00:00
"JP-1000103","長万部町図書館","OSHAMAMBECHO Library","オシャマンベチョウトショカン","049-3521","北海道","山越郡長万部町","字長万部町411-216","01377-2-5757","01377-2-5298","http://www.town.oshamambe.lg.jp",,2011/10/1 0:00:00,2013/3/28 0:00:00
"JP-1000104","江差町図書館","ESASHICHO Library","エサシチョウトショカン","043-0052","北海道","桧山郡江差町","字茂尻町71","0139-52-5454","0139-52-3566","http://www.hokkaido-esashi.jp/toshokan/index.htm",,2011/10/1 0:00:00,2013/4/25 0:00:00
"JP-1000105","厚沢部町図書館","ATSUSABUCHO Library","アツサブチョウトショカン","043-1113","北海道","桧山郡厚沢部町","新町234-1","0139-64-3436","0139-64-3822","http://www.town.assabu.lg.jp/modules/library_bulletin/",,2011/10/1 0:00:00,2013/4/25 0:00:00
"JP-1000106","せたな町立大成図書館","SETANACHORITSUTAISEI Library","セタナチョウリツタイセイトショカン","043-0504","北海道","久遠郡せたな町","大成区都386","01398-4-6161","01398-4-6161","",,2011/10/1 0:00:00,
"JP-1000107","余市町図書館","Yoichi Town Library","ヨイチチョウトショカン","046-0011","北海道","余市郡余市町","入舟町413","0135-22-6141","0135-23-7660","http://www.yoichi-lib-unet.ocn.ne.jp",,2011/10/1 0:00:00,2013/4/25 0:00:00
"JP-1000108","奈井江町図書館","NAIECHO Library","ナイエチョウトショカン","079-0300","北海道","空知郡奈井江町","字奈井江152番地","0125-65-5311","0125-65-5314","http://www.town.naie.hokkaido.jp/bunka/bunka/shakyo/Tosho/",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1000109","由仁町ゆめっく館","YUNICHOYUMEKKUKAN","ユニチョウユメックカン","069-1205","北海道","夕張郡由仁町","中央202","0123-83-3803","0123-83-3056","http://www.town.yuni.lg.jp/01020113kyoiku_syakai02_yumekku.html",,2011/10/1 0:00:00,2014/10/29 0:00:00
"JP-1000110","長沼町図書館","Naganuma Public Library","ナガヌマチョウトショカン","069-1332","北海道","夕張郡長沼町","中央南2丁目3-3","0123-88-3101","0123-88-0807","http://library.maoi-net.jp",,2011/10/1 0:00:00,2013/4/25 0:00:00
"JP-1000111","栗山町図書館","Kuriyama Town Library","クリヤマチョウトショカン","069-1511","北海道","夕張郡栗山町","中央3丁目309","0123-72-6055","0123-72-5128","http://library.town.kuriyama.hokkaido.jp/",,2011/10/1 0:00:00,2014/10/29 0:00:00
"JP-1000112","月形町図書館","TSUKIGATACHO Library","ツキガタチョウトショカン","061-0500","北海道","樺戸郡月形町","字表小柳町11","0126-53-3677","0126-53-3677","http://www.town.tsukigata.hokkaido.jp/3098.htm",,2011/10/1 0:00:00,2017/1/23 0:00:00
"JP-1000113","新十津川町図書館","SHINTOTSUKAWACHO Library","シントツカワチョウトショカン","073-1103","北海道","樺戸郡新十津川町","字中央535-1","0125-76-3746","0125-76-4641","http://lib.net-bibai.co.jp/shintotsukawa/",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1000114","秩父別町図書館","CHIPPUBETSUCHO Library","チップベツチョウトショカン","078-2100","北海道","雨竜郡秩父別町","1267-1","0164-33-2220","0164-33-3608","http://www.town.chippubetsu.hokkaido.jp/index.php?cat2=43&rpos=3",,2011/10/1 0:00:00,2014/10/29 0:00:00
"JP-1000115","北竜町図書館","HOKURYUCHO Library","ホクリュウチョウトショカン","078-2512","北海道","雨竜郡北竜町","字和10-1","0164-34-2553","0164-34-2635","http://www.town.hokuryu.hokkaido.jp/",,2011/10/1 0:00:00,2014/10/30 0:00:00
"JP-1000116","沼田町図書館","NUMATACHO Library","ヌマタチョウトショカン","078-2202","北海道","雨竜郡沼田町","南1条4丁目6-5","0164-35-3515","0164-35-1210","http://www.town.numata.hokkaido.jp/section/library/",,2011/10/1 0:00:00,2014/10/30 0:00:00
"JP-1000117","東神楽町メモリアルホール(東神楽町図書館)","HIGASHIKAGURACHOMEMORIARUHORU(HIGASHIKAGURACHO Library )","ヒガシカグラチョウメモリアルホール(ヒガシカグラチョウトショカン)","071-1501","北海道","上川郡東神楽町","南1条西1丁目3-10","0166-83-4646","","https://www.town.higashikagura.lg.jp/map1/list/memorial-hall_library/",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1000118","当麻町立図書館","Tohma Public Library","トウマチョウリツトショカン","078-1314","北海道","上川郡当麻町","4条東2丁目16-3","0166-84-2566","0166-84-2590","http://lib.net-bibai.co.jp/touma/",,2011/10/1 0:00:00,2017/4/6 0:00:00
"JP-1000119","比布町図書館","Pippu Town Library","ピップチョウトショカン","078-0348","北海道","上川郡比布町","北町1丁目2-3","0166-85-3354","0166-85-3354","http://www.town.pippu.hokkaido.jp/cms/section/kyouiku/i9kb6d000000i6ea.html",,2011/10/1 0:00:00,2020/2/20 0:00:00
"JP-1000120","美瑛町図書館","BIEICHO Library","ビエイチョウトショカン","071-0214","北海道","上川郡美瑛町","幸町1-1-10","0166-92-1251","0166-92-4877","https://town.biei.hokkaido.jp/facility/library/",,2011/10/1 0:00:00,2022/12/12 0:00:00
"JP-1000121","上富良野町図書館","KAMIFURANOCHO Library","カミフラノチョウトショカン","071-0541","北海道","空知郡上富良野町","富町1丁目3-25","0167-45-3158","0167-45-3562","http://www.town.kamifurano.hokkaido.jp/index.php?id=256",,2011/10/1 0:00:00,2013/4/25 0:00:00
"JP-1000122","和寒町立図書館","Wassamu town Library","ワッサムチョウリツトショカン","098-0132","北海道","上川郡和寒町","字西町125","0165-32-4646","0165-32-3394","http://www.toshokan-town-wassamu.jp/",,2011/10/1 0:00:00,2013/4/25 0:00:00
"JP-1000123","浜頓別町立図書館","HAMATOMBETSUCHORITSU Library","ハマトンベツチョウリツトショカン","098-5705","北海道","枝幸郡浜頓別町","中央南7-8-9","01634-2-3935","01634-2-3935","http://www.town.hamatonbetsu.hokkaido.jp/d_tosho/1689/",,2011/10/1 0:00:00,2014/10/30 0:00:00
"JP-1000124","枝幸町立図書館","ESASHICHORITSU Library","エサシチョウリツトショカン","098-5807","北海道","枝幸郡枝幸町","本町880-3","0163-62-2269","0163-62-2848","http://library.esashi.jp/finder/servlet/Index?findtype=1",,2011/10/1 0:00:00,2019/5/31 0:00:00
