"ISIL","機関名Institution name in Japanese","Institution name in English","機関名ヨミInstitution name in Japanese (kana form)","Postal code","都道府県Prefecture","City/Ward/Town/Village","Address (Street Level)","Telephone number","代表FAX番号Fax number","URL","旧ISIL Former ISIL","登録日","更新日"
"JP-1003238","北海道大学大学院歯学研究科･歯学部図書室","Library, School of Dentistry, Hokkaido University","ホッカイドウダイガクダイガクインシガクケンキュウカ･シガクブトショシツ","060-8586","北海道","札幌市北区","北13条西7丁目","011-706-4209","011-706-4210","http://www.lib.hokudai.ac.jp/den/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003239","北海道大学工学研究院･工学院･工学部図書室","Library, Faculty of Engineering, Hokkaido University","ホッカイドウダイガクコウガクケンキュウイン･コウガクイン･コウガクブトショシツ","060-8628","北海道","札幌市北区","北13条西8丁目","011-706-6160","011-706-7893","http://www.lib.hokudai.ac.jp/eng/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003240","北海道大学大学院農学研究院図書室","Library, Graduate School of Agriculture, Hokkaido University","ホッカイドウダイガクダイガクインノウガクケンキュウイントショシツ","060-8589","北海道","札幌市北区","北9条西9丁目","011-706-4008","011-706-2428","http://www.lib.hokudai.ac.jp/agr/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003241","北海道大学大学院獣医学研究科･獣医学部図書室","Library, Graduate School of Veterinary Medicine, Hokkaido University","ホッカイドウダイガクダイガクインジュウイガクケンキュウカ･ジュウイガクブトショシツ","060-0818","北海道","札幌市北区","北18条西9丁目","011-706-5179","011-706-5190","https://www.lib.hokudai.ac.jp/vet/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1003242","北海道大学大学院薬学研究院･薬学部図書室","Library, Faculty of Pharmaceutical Sciences, Hokkaido University","ホッカイドウダイガクダイガクインヤクガクケンキュウイン･ヤクガクブトショシツ","060-0812","北海道","札幌市北区","北12条西6丁目","011-706-3914","011-706-4989","http://www.lib.hokudai.ac.jp/pharm/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003243","北海道大学大学院水産科学研究院･大学院水産科学院･水産学部図書室","Library, Faculty of Fisheries Sciences, Hokkaido University","ホッカイドウダイガクダイガクインスイサンカガクケンキュウイン･ダイガクインスイサンカガクイン･スイサンガクブトショシツ","041-8611","北海道","函館市","港町3丁目1-1","0138-40-5517","0138-40-5587","http://www.lib.hokudai.ac.jp/fish/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003244","北海道大学附属図書館北図書館","Hokkaido University Library, Northern Library","ホッカイドウダイガクフゾクトショカンキタトショカン","060-0817","北海道","札幌市北区","北17条西8丁目","011-706-5575","011-706-7851","http://www.lib.hokudai.ac.jp/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003245","北海道大学北キャンパス図書室","Library, Northern Campus, Hokkaido University","ホッカイドウダイガクキタキャンパストショシツ","001-0021","北海道","札幌市北区","北21条西10丁目","011-706-9106","011-706-9110","http://www.lib.hokudai.ac.jp/northern-campus/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003246","北海道大学低温科学研究所図書室","Library, Institute of Low Temperature Science, Hokkaido University","ホッカイドウダイガクテイオンカガクケンキュウショトショシツ","060-0819","北海道","札幌市北区","北19条西8丁目","011-706-5449","011-706-7142","http://www.lib.hokudai.ac.jp/lowtem/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003247","北海道大学スラブ・ユーラシア研究センター図書室","Library, Slavic-Eurasian Research Center, Hokkaido University","ホッカイドウダイガクスラブ・ユーラシアンケンキュウセンタートショシツ","060-0809","北海道","札幌市北区","北9条西7丁目","011-706-3310","011-706-4952","http://www.lib.hokudai.ac.jp/slv/",,2011/10/1 0:00:00,2015/6/5 0:00:00
"JP-1003248","北海道大学大学院地球環境科学研究院図書室","HOKKAIDODAIGAKUDAIGAKUINCHIKYUKANKYOKAGAKUKENKYUINTOSHOSHITSU","ホッカイドウダイガクダイガクインチキュウカンキョウカガクケンキュウイントショシツ","060-0810","北海道","札幌市北区","北10条西5丁目","011-706-2208","011-706-4867","http://www.lib.hokudai.ac.jp/env/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003249","北海道大学大学院保健科学研究院図書室","Library, Faculty of Health Sciences, Hokkaido University","ホッカイドウダイガクダイガクインホケンカガクケンキュウイントショシツ","060-0812","北海道","札幌市北区","北12条西5丁目","011-706-3319","011-706-4916","http://www.lib.hokudai.ac.jp/health/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003250","北海道教育大学附属図書館札幌館","Hokkaido University of Education  Sapporo Library","ホッカイドウキョウイクダイガクフゾクトショカンサッポロカン","002-8503","北海道","札幌市北区","あいの里5条3丁目1-6","011-778-0288","011-778-7052","https://s-opac.sap.hokkyodai.ac.jp/library/?q=sapporo",,2011/10/1 0:00:00,2015/6/5 0:00:00
"JP-1003251","北海道教育大学附属図書館函館館","Hokkaido University of Education Hakodate Campus Library","ホッカイドウキョウイクダイガクフゾクトショカンハコダテカン","040-8567","北海道","函館市","八幡町1-2","0138-44-4231","0138-44-4381","http://www.h-lib.hak.hokkyodai.ac.jp/",,2011/10/1 0:00:00,2013/8/22 0:00:00
"JP-1003252","北海道教育大学附属図書館旭川館","Hokkaido University of Education ASAHIKAWA Campus Library","ホッカイドウキョウイクダイガクフゾクトショカンアサヒカワカン","070-8621","北海道","旭川市","北門町9丁目","0166-59-1235","0166-59-1244","https://s-opac.sap.hokkyodai.ac.jp/library/?q=asahikawa",,2011/10/1 0:00:00,2015/6/5 0:00:00
"JP-1003253","北海道教育大学附属図書館釧路館","Hokkaido University of Education, Kushiro Campus Library","ホッカイドウキョウイクダイガクフゾクトショカンクシロカン","085-8580","北海道","釧路市","城山1丁目15-55","0154-44-3243","0154-44-3244","https://s-opac.sap.hokkyodai.ac.jp/library/?q=kus-kihon",,2011/10/1 0:00:00,2015/6/5 0:00:00
"JP-1003254","北海道教育大学附属図書館岩見沢館","Hokkaido University of Education Iwamizawa Campus Library","ホッカイドウキョウイクダイガクフゾクトショカンイワミザワカン","068-8642","北海道","岩見沢市","緑が丘2丁目34-1","0126-32-0240","0126-32-0253","https://s-opac.sap.hokkyodai.ac.jp/library/?q=iwa-top",,2011/10/1 0:00:00,2015/6/5 0:00:00
"JP-1003255","室蘭工業大学附属図書館","Muroran Institute of Technology Library","ムロランコウギョウダイガクフゾクトショカン","050-8585","北海道","室蘭市","水元町27-1","0143-46-5184","0143-46-5196","http://www.lib.muroran-it.ac.jp",,2011/10/1 0:00:00,2015/6/5 0:00:00
"JP-1003256","小樽商科大学附属図書館","Otaru University of Commerce Library","オタルショウカダイガクフゾクトショカン","047-8502","北海道","小樽市","緑3丁目5-21","0134-27-5271","0134-27-5275","https://library.otaru-uc.ac.jp/",,2011/10/1 0:00:00,2021/12/14 0:00:00
"JP-1003257","帯広畜産大学附属図書館","Obihiro University of Agriculture and Veterinary Medicine Library","オビヒロチクサンダイガクフゾクトショカン","080-8555","北海道","帯広市","稲田町西2線11","0155-49-5332","0155-49-5349","http://www.obihiro.ac.jp/~library/",,2011/10/1 0:00:00,2012/4/20 0:00:00
"JP-1003258","旭川医科大学図書館","Asahikawa Medical University Library","アサヒカワイカダイガクトショカン","078-8510","北海道","旭川市","緑が丘東2条1丁目1-1","0166-68-2239","","http://lib.asahikawa-med.ac.jp/",,2011/10/1 0:00:00,2015/6/5 0:00:00
"JP-1003259","北見工業大学図書館","National University Corporation Kitami Institute of Technology Library","キタミコウギョウダイガクトショカン","090-8507","北海道","北見市","公園町165番地","0157-26-9192","0157-24-7709","http://www.lib.kitami-it.ac.jp",,2011/10/1 0:00:00,2012/4/4 0:00:00
"JP-1003260","弘前大学附属図書館","Hirosaki University Library","ヒロサキダイガクフゾクトショカン","036-8560","青森県","弘前市","文京町1","0172-39-3162","0172-39-3171","http://www.ul.hirosaki-u.ac.jp",,2011/10/1 0:00:00,2013/8/26 0:00:00
"JP-1003261","弘前大学附属図書館医学部分館","Hirosaki University Medical Library","ヒロサキダイガクフゾクトショカンイガクブブンカン","036-8562","青森県","弘前市","在府町5","0172-39-5231","0172-39-5233","http://hippo.med.hirosaki-u.ac.jp/~mlib/index.html",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003262","岩手大学図書館","Iwate University Library","イワテダイガクトショカン","020-8550","岩手県","盛岡市","上田3丁目18-8","019-621-6082","019-621-6088","http://www.lib.iwate-u.ac.jp/",,2011/10/1 0:00:00,2014/7/4 0:00:00
"JP-1003263","東北大学附属図書館","Tohoku University Library","トウホクダイガクフゾクトショカン","980-8576","宮城県","仙台市青葉区","川内27-1","022-795-5911","022-795-5909","http://www.library.tohoku.ac.jp/",,2011/10/1 0:00:00,2016/6/20 0:00:00
"JP-1003264","東北大学文学部･文学研究科図書室","TOHOKUDAIGAKUBUNGAKUBU･BUNGAKUKENKYUKATOSHOSHITSU","トウホクダイガクブンガクブ･ブンガクケンキュウカトショシツ","980-8576","宮城県","仙台市青葉区","川内27-1","022-795-6008","","",,2011/10/1 0:00:00,
"JP-1003265","東北大学大学院教育学研究科･教育学部図書室","Tohoku University Graduate School of Education, Faculty of Education Library","トウホクダイガクダイガクインキョウイクガクケンキュウカ･キョウイクガクブトショシツ","980-8576","宮城県","仙台市青葉区","川内27-1","022-795-6109","022-795-6109","https://www2.sed.tohoku.ac.jp/library/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1003266","東北大学法学部･法学研究科図書室","TOHOKUDAIGAKUHOGAKUBU･HOGAKUKENKYUKATOSHOSHITSU","トウホクダイガクホウガクブ･ホウガクケンキュウカトショシツ","980-8576","宮城県","仙台市青葉区","川内27-1","022-795-6240","","http://www.law.tohoku.ac.jp/library/",,2011/10/1 0:00:00,
"JP-1003267","東北大学大学院経済学研究科･経済学部図書室","Library of Graduate School of Economics and Management / Faculty of Economics, Tohoku University","トウホクダイガクダイガクインケイザイガクケンキュウカケイザイガクブトショシツ","980-8576","宮城県","仙台市青葉区","川内27-1","022-795-6328","022-795-4315","http://www.econ.tohoku.ac.jp/~econlib/",,2011/10/1 0:00:00,2013/8/26 0:00:00
"JP-1003268","東北大学大学院生命科学研究科図書室(片平)","TOHOKUDAIGAKUDAIGAKUINSEIMEIKAGAKUKENKYUKATOSHOSHITSU(KATAHIRA)","トウホクダイガクダイガクインセイメイカガクケンキュウカトショシツ(カタヒラ)","980-8577","宮城県","仙台市青葉区","片平2丁目1-1","022-217-5692","022-217-5704","",,2011/10/1 0:00:00,2017/8/28 0:00:00
"JP-1003269","東北大学多元物質科学研究所図書室","Library, Institute of  Multidisciplinary Research for Advanced Materials, Tohoku University","トウホクダイガクタゲンブッシツカガクケンキュウジョトショシツ","980-8577","宮城県","仙台市青葉区","片平2丁目1-1","022-217-5656","","http://www.tagen.tohoku.ac.jp/library/index-j.html",,2011/10/1 0:00:00,2013/8/27 0:00:00
"JP-1003270","東北大学流体科学研究所図書室","TOHOKUDAIGAKURYUTAIKAGAKUKENKYUJOTOSHOSHITSU","トウホクダイガクリュウタイカガクケンキュウジョトショシツ","980-8577","宮城県","仙台市青葉区","片平2丁目1-1","022-217-5312","022-217-5312","http://www.ifs.tohoku.ac.jp/shien/tosho/index.html",,2011/10/1 0:00:00,2013/8/27 0:00:00
"JP-1003271","東北大学電気通信研究所図書室","Research Institute of Electrical Communication LIBRARY, Tohoku University","トウホクダイガクデンキツウシンケンキュウショトショシツ","980-8577","宮城県","仙台市青葉区","片平2丁目1-1","022-217-5423","022-217-5425","http://www.library.riec.tohoku.ac.jp/",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003272","東北大学金属材料研究所図書室","Institute for Materials Research LIBRARY, Tohoku University","トウホクダイガクキンゾクザイリョウケンキュウジョトショシツ","980-8577","宮城県","仙台市青葉区","片平2丁目1-1","022-215-2188","022-215-2189","http://library.imr.tohoku.ac.jp/",,2011/10/1 0:00:00,2013/8/27 0:00:00
"JP-1003273","東北大学附属図書館医学分館","Tohoku University Medical Library","トウホクダイガクフゾクトショカンイガクブンカン","980-8575","宮城県","仙台市青葉区","星陵町1-1","022-717-7972","022-717-7982","http://www.library.tohoku.ac.jp/med/",,2011/10/1 0:00:00,2012/4/13 0:00:00
"JP-1003274","東北大学附属図書館北青葉山分館","Tohoku University Kita-Aobayama Library","トウホクダイガクフゾクトショカンキタアオバヤマブンカン","980-8578","宮城県","仙台市青葉区","荒巻字青葉6-3","022-795-6372","022-795-3753","http://www.library.tohoku.ac.jp/kita/",,2011/10/1 0:00:00,2016/6/20 0:00:00
"JP-1003275","東北大学附属図書館工学分館","Tohoku University Engineering Library","トウホクダイガクフゾクトショカンコウガクブンカン","980-8579","宮城県","仙台市青葉区","荒巻字青葉6-6-03","022-795-5892","022-795-7120","http://www.library.tohoku.ac.jp/eng/",,2011/10/1 0:00:00,2013/9/4 0:00:00
"JP-1003276","東北大学附属図書館農学分館","Tohoku University Agricultural Library","トウホクダイガクフゾクトショカンノウガクブンカン","981-8555","宮城県","仙台市青葉区","堤通雨宮町1-1","022-717-8629","022-274-2127","http://www.library.tohoku.ac.jp/agr/",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003277","東北大学東北アジア研究センター図書室","TOHOKUDAIGAKUTOHOKUAJIAKENKYUSENTATOSHOSHITSU","トウホクダイガクトウホクアジアケンキュウセンタートショシツ","980-8576","宮城県","仙台市青葉区","川内41","022-795-6081","","http://www.cneas.tohoku.ac.jp/library.html",,2011/10/1 0:00:00,2013/9/5 0:00:00
"JP-1003278","東北大学大学院法学研究科･法政実務図書室","TOHOKUDAIGAKUDAIGAKUINHOGAKUKENKYUKA･HOSEIJITSUMUTOSHOSHITSU","トウホクダイガクダイガクインホウガクケンキュウカ･ホウセイジツムトショシツ","980-8577","宮城県","仙台市青葉区","片平2-1-1","022-217-4858","022-217-4858","http://www.law.tohoku.ac.jp/library/katahira/",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003279","宮城教育大学附属図書館","Miyagi University of Education Library","ミヤギキョウイクダイガクフゾクトショカン","980-0845","宮城県","仙台市青葉区","荒巻字青葉149","022-214-3350","022-214-3351","http://library.miyakyo-u.ac.jp/",,2011/10/1 0:00:00,2013/9/5 0:00:00
"JP-1003280","秋田大学附属図書館","Akita University Library","アキタダイガクフゾクトショカン","010-8502","秋田県","秋田市","手形学園町1-1","018-889-2279","018-832-4917","http://www.lib.akita-u.ac.jp",,2011/10/1 0:00:00,2013/9/5 0:00:00
"JP-1003281","秋田大学附属図書館医学部分館","Akita University Medical School Library","アキタダイガクフゾクトショカンイガクブブンカン","010-8543","秋田県","秋田市","本道1丁目1-1","018-884-6052","018-884-6252","http://www.lib.akita-u.ac.jp",,2011/10/1 0:00:00,2012/5/1 0:00:00
"JP-1003282","山形大学小白川図書館","Yamagata University, Kojirakawa Library","ヤマガタダイガクコジラカワトショカン","990-8560","山形県","山形市","小白川町1丁目4-12","023-628-4914","023-628-4915","http://www.lib.yamagata-u.ac.jp/yktop/",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003283","山形大学工学部図書館","Yamagata University Engineering Library","ヤマガタダイガクコウガクブトショカン","992-8510","山形県","米沢市","城南4丁目3-16","0238-26-3019","0238-26-3408","http://www.lib.yamagata-u.ac.jp/yztop/",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003284","山形大学農学部図書館","Yamagata University Agricultural Library","ヤマガタダイガクノウガクブトショカン","997-8555","山形県","鶴岡市","若葉町1-23","0235-28-2810","0235-28-2815","http://www.lib.yamagata-u.ac.jp/yatop/",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003285","山形大学医学部図書館","Yamagata University Medical Library","ヤマガタダイガクイガクブトショカン","990-9585","山形県","山形市","飯田西2丁目2-2","023-628-5054","023-628-5059","http://www.lib.yamagata-u.ac.jp/ymtop/",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003286","福島大学附属図書館","Fukushima University Library","フクシマダイガクフゾクトショカン","960-1293","福島県","福島市","金谷川1番地","024-548-8083","024-548-2377","http://www.lib.fukushima-u.ac.jp",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003287","茨城大学図書館","Ibaraki University Library","イバラキダイガクトショカン","310-8512","茨城県","水戸市","文京2丁目1-1","029-228-8073","029-228-8078","http://www.lib.ibaraki.ac.jp",,2011/10/1 0:00:00,2013/9/6 0:00:00
"JP-1003288","茨城大学図書館工学部分館","Hitachi Branch of Ibaraki University Library","イバラキダイガクトショカンコウガクブブンカン","316-8511","茨城県","日立市","中成沢町4丁目12-1","0294-38-5012","0294-38-5245","http://www.lib.ibaraki.ac.jp/guide/kougaku.html",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003289","茨城大学図書館農学部分館","Ami Branch of Ibaraki University Library","イバラキダイガクトショカンノウガクブブンカン","300-0393","茨城県","稲敷郡阿見町","中央3丁目21-1","029-888-8531","029-888-8533","http://www.lib.ibaraki.ac.jp/guide/nougaku.html",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003290","筑波大学附属図書館中央図書館","University of Tsukuba Library Central Library","ツクバダイガクフゾクトショカンチュウオウトショカン","305-8577","茨城県","つくば市","天王台1丁目1-1","029-853-2347","029-853-6052","http://www.tulips.tsukuba.ac.jp/",,2011/10/1 0:00:00,2013/1/10 0:00:00
"JP-1003291","筑波大学附属図書館体育･芸術図書館","University of Tsukuba Library Art and Physical Education Library","ツクバダイガクフゾクトショカンタイイク･ゲイジュツトショカン","305-8574","茨城県","つくば市","天王台1丁目1-1","029-853-2878","029-853-6022","http://www.tulips.tsukuba.ac.jp/",,2011/10/1 0:00:00,2013/1/10 0:00:00
"JP-1003292","筑波大学附属図書館医学図書館","University of Tsukuba Library Medical Library","ツクバダイガクフゾクトショカンイガクトショカン","305-8575","茨城県","つくば市","天王台1丁目1-1","029-853-3256","029-853-6023","http://www.tulips.tsukuba.ac.jp/",,2011/10/1 0:00:00,2013/1/10 0:00:00
"JP-1003293","筑波大学附属図書館図書館情報学図書館","University of Tsukuba Library Library on Library and Information Science","ツクバダイガクフゾクトショカントショカンジョウホウガクトショカン","305-8550","茨城県","つくば市","春日1-2","029-859-1232","029-859-1221","http://www.tulips.tsukuba.ac.jp/",,2011/10/1 0:00:00,2013/1/10 0:00:00
